"Exercise";"100lbs";"125lbs";"150lbs";"175lbs";"200lbs";"250lbs";"300lbs"
"Aerobics: low impact";114;91;76;65;57;45;38
"Aerobics: high impact";89;71;60;51;45;36;30
"Aerobics Step: low impact";89;71;60;51;45;36;30
"Aerobics Step: high impact";63;50;42;36;31;25;21
"Aerobics: water";156;125;104;89;78;63;52
"Bicycling";89;71;60;51;45;36;30
"Circuit Training";78;63;52;45;39;31;26
"Rowing: moderate";89;71;60;51;45;36;30
"Rowing: vigorous";74;59;49;42;37;29;25
"Ski Machine";66;53;44;38;33;26;22
"Stair Stepper";104;83;69;60;52;42;35
"Weight Lifting: light";208;167;139;119;104;83;69
"Weight Lifting: vigorous";104;83;69;60;52;42;35
"Basketball";78;63;52;45;39;31;26
"Basketball: wheelchair";86;77;64;55;48;38;32
"Bicycling: mountain";74;59;49;42;37;29;25
"Bicycling: 12-13.9ph";78;63;52;45;39;31;26
"Bicycling: 14-15.9ph";63;50;42;36;31;25;21
"Boxing: sparring";69;56;46;40;35;28;23
"Football";69;56;46;40;35;28;23
"Frisbee";208;167;139;119;104;83;69
"Golf: carrying clubs";114;91;76;65;57;45;38
"Gymnastics";156;125;104;89;78;63;52
"Handball";52;42;35;30;26;21;17
"Horseback Riding";156;125;104;89;78;63;52
"Ice Skating";89;71;60;51;45;36;30
"Martial Arts";63;50;42;36;31;25;21
"Rock Climbing";78;63;52;45;39;31;26
"Rollerblade Skating";89;171;60;51;45;36;30
"Rope Jumping";63;50;42;36;31;25;21
"Running: (8min/mile)";50;40;33;29;25;20;17
"Running: cross-country";69;56;46;40;35;28;23
"Snow Shoeing";78;63;52;45;39;31;26
"Softball";125;100;83;71;63;50;42
"Swimming";104;83;69;60;52;42;35
"Tennis";89;71;60;51;45;36;30
"Volleyball";156;125;104;89;78;63;52
"Volleyball: beach";78;63;52;45;39;31;26
"Walk: 4ph (15min/mile)";139;111;93;79;69;56;46
"Jogging";104;83;69;60;52;42;35
"Water Skiing";104;83;69;60;52;42;35
"Water Polo";89;71;60;51;45;36;30
"rafting";89;71;60;51;45;36;30
